condition,seed,method,scene,auc,cnr,n_target,n_bg,n_valid,file
150k_1mm,42,poca,u_pb_soil,0.9697899892646269,3.469983734743921,648,1656,2304,150k_1mm/seed_42/poca/u_pb_soil.npz
150k_1mm,42,poca,u_pb_concrete,0.9692355147014969,3.1639823907435356,648,1656,2304,150k_1mm/seed_42/poca/u_pb_concrete.npz
150k_1mm,42,poca,u_explosive_soil,0.5207802156020755,0.1905876237576929,648,1656,2304,150k_1mm/seed_42/poca/u_explosive_soil.npz
150k_1mm,42,poca,u_explosive_concrete,0.5774001342732461,0.2668947984987906,648,1655,2303,150k_1mm/seed_42/poca/u_explosive_concrete.npz
150k_1mm,42,poca,u_void_soil,0.6618189747718733,0.2901964934987813,648,1656,2304,150k_1mm/seed_42/poca/u_void_soil.npz
150k_1mm,42,poca,u_void_concrete,0.7011292007012048,0.47896417563803323,648,1655,2303,150k_1mm/seed_42/poca/u_void_concrete.npz
150k_1mm,42,asr_q75,u_pb_soil,0.9998900369773961,5.966203214416758,648,1656,2304,150k_1mm/seed_42/asr_q75/u_pb_soil.npz
150k_1mm,42,asr_q75,u_pb_concrete,0.9998703890194324,5.808709655835192,648,1655,2303,150k_1mm/seed_42/asr_q75/u_pb_concrete.npz
150k_1mm,42,asr_q75,u_explosive_soil,0.5406378600823045,0.0880264071889582,648,1656,2304,150k_1mm/seed_42/asr_q75/u_explosive_soil.npz
150k_1mm,42,asr_q75,u_explosive_concrete,0.673933273656335,0.41928721195736424,648,1655,2303,150k_1mm/seed_42/asr_q75/u_explosive_concrete.npz
150k_1mm,42,asr_q75,u_void_soil,0.876610305958132,1.1315567091134118,648,1656,2304,150k_1mm/seed_42/asr_q75/u_void_soil.npz
150k_1mm,42,asr_q75,u_void_concrete,0.8872403754398521,1.1530384366565978,648,1656,2304,150k_1mm/seed_42/asr_q75/u_void_concrete.npz
150k_1mm,42,mlsd_median,u_pb_soil,0.9982340684081827,5.571444039324048,648,1656,2304,150k_1mm/seed_42/mlsd_median/u_pb_soil.npz
150k_1mm,42,mlsd_median,u_pb_concrete,0.9975985194131329,5.18834801694054,648,1656,2304,150k_1mm/seed_42/mlsd_median/u_pb_concrete.npz
150k_1mm,42,mlsd_median,u_explosive_soil,0.6795547056718554,0.4779037291213792,648,1656,2304,150k_1mm/seed_42/mlsd_median/u_explosive_soil.npz
150k_1mm,42,mlsd_median,u_explosive_concrete,0.7490115997165343,0.6295825022763031,648,1655,2303,150k_1mm/seed_42/mlsd_median/u_explosive_concrete.npz
150k_1mm,42,mlsd_median,u_void_soil,0.8895486670245124,0.9080323574545112,648,1656,2304,150k_1mm/seed_42/mlsd_median/u_void_soil.npz
150k_1mm,42,mlsd_median,u_void_concrete,0.8998274961769424,0.9443875248265433,648,1655,2303,150k_1mm/seed_42/mlsd_median/u_void_concrete.npz
150k_1mm,42,namt_3p,u_pb_soil,0.9999971562471562,13.333460291657616,648,1628,2276,150k_1mm/seed_42/namt_3p/u_pb_soil.npz
150k_1mm,42,namt_3p,u_pb_concrete,1.0,15.44249372079028,648,1631,2279,150k_1mm/seed_42/namt_3p/u_pb_concrete.npz
150k_1mm,42,namt_3p,u_explosive_soil,0.8924575617283951,1.6946952031264375,648,1632,2280,150k_1mm/seed_42/namt_3p/u_explosive_soil.npz
150k_1mm,42,namt_3p,u_explosive_concrete,0.9366006615648962,1.9319553478999554,648,1631,2279,150k_1mm/seed_42/namt_3p/u_explosive_concrete.npz
150k_1mm,42,namt_3p,u_void_soil,0.983458453350268,3.327216560552262,648,1633,2281,150k_1mm/seed_42/namt_3p/u_void_soil.npz
150k_1mm,42,namt_3p,u_void_concrete,0.9838627570759519,3.6316049297925086,648,1637,2285,150k_1mm/seed_42/namt_3p/u_void_concrete.npz
150k_1mm,42,namt_4p,u_pb_soil,1.0,15.323264627344598,648,1628,2276,150k_1mm/seed_42/namt_4p/u_pb_soil.npz
150k_1mm,42,namt_4p,u_pb_concrete,0.9999886459113927,14.742545742047687,648,1631,2279,150k_1mm/seed_42/namt_4p/u_pb_concrete.npz
